id;path;ext;size_bytes;md5
42;./MCP to GPT/.venv_win/Lib/site-packages/win32comext/axscript/Demos/client/asp/interrupt/test.html;html;166;a85f302d7225e87bfc0501d647b602e6
43;./MCP to GPT/.venv_win/Lib/site-packages/win32comext/axscript/Demos/client/asp/interrupt/test1.html;html;166;c49289cb43ca090301b7acf5f100f569
44;./README.md;md;2555;cac141da861c855e069a9c32557458ac
45;./eslint.config.js;js;912;3d103ddffe795efa4b885f4dd67527a2
46;./index.html;html;2569;14befc9933b44a783b0793a26cc92ec2
47;./package-lock.json;json;381289;40008234620e3b8fbef68b3ef8951a0f
48;./package.json;json;2031;f4173c9ecec8abc438a63ec8a3914759
49;./playwright.config.ts;ts;5981;e837aeeb589b00b2ff28ea8d20c8bb71
50;./postcss.config.js;js;117;6b78d877596be30b9e337891cf3139b9
51;./smartpantry-api/backend/src/services/api.ts;ts;924;305afbf497cbce21c34f3046dcee314b
52;./smartpantry-api/backend/venv/Lib/site-packages/httpcore-1.0.9.dist-info/licenses/LICENSE.md;md;1518;1c1f23b073da202e1f4f9e426490210c
53;./smartpantry-api/backend/venv/Lib/site-packages/httpx-0.26.0.dist-info/licenses/LICENSE.md;md;1508;c624803bdf6fc1c4ce39f5ae11d7bd05
54;./smartpantry-api/backend/venv/Lib/site-packages/idna-3.11.dist-info/licenses/LICENSE.md;md;1541;18a4795c19833413a7e2f1cb3cd3b143
55;./smartpantry-api/backend/venv/Lib/site-packages/pip-25.3.dist-info/licenses/src/pip/_vendor/idna/LICENSE.md;md;1541;204c0612e40a4dd46012a78d02c80fb1
56;./smartpantry-api/backend/venv/Lib/site-packages/pip/_vendor/idna/LICENSE.md;md;1541;204c0612e40a4dd46012a78d02c80fb1
57;./smartpantry-api/backend/venv/Lib/site-packages/starlette-0.35.1.dist-info/licenses/LICENSE.md;md;1518;11e8c8dbfd5fa373c703de492140ff7a
58;./smartpantry-api/backend/venv/Lib/site-packages/uvicorn-0.27.0.dist-info/licenses/LICENSE.md;md;1526;5c778842f66a649636561c423c0eec2e
59;./smartpantry-api/package-lock.json;json;53446;e8588991e84da361dc847c478c26234c
60;./smartpantry-api/package.json;json;528;8d9caac116a0bb1445c419d54714cd53
61;./smartpantry-api/src/index.ts;ts;1946;87bd929d589ef3b8b61eff28a2b1c17d
62;./smartpantry-api/src/llm/llmClient.ts;ts;3335;1928d35661596e5cf14906e103b083ee
63;./smartpantry-api/src/recipes/match.ts;ts;1335;db11d964a7d05c1a6b6d0a397b135bee
64;./smartpantry-api/src/recipes/recipes.db.ts;ts;1367;132a80aead9351acb2127ee7ddc3ea37
65;./smartpantry-api/src/recipes/validate.ts;ts;732;20608420a7daef8a9accdf319ef3f4fb
66;./smartpantry-api/src/scanner/offClient.ts;ts;863;ba1232153743fc3a201fcdb71318905f
67;./smartpantry-api/src/scanner/score.ts;ts;2646;ad2cceb8375332d3796cc87d119c5d13
68;./smartpantry-api/src/types.ts;ts;745;8e4d3628286773f5c89b80a162998c4e
69;./smartpantry-api/src/utils.ts;ts;381;bfee1ebfb27924d2b98a93060e557898
70;./smartpantry-api/tsconfig.json;json;293;5e8c4b2403d8d278e5041c05999deaf4
71;./src/App.tsx;tsx;6173;b85f72ee806cfd0815f47ecac68f7524
72;./src/components/ToastProvider.tsx;tsx;571;3802bd14350b5edead10a714e827e774
73;./src/contexts/AuthContext.tsx;tsx;3011;b97627d2987a146c6311f850fe60711b
74;./src/features/analytics/AnalyticsView.tsx;tsx;18031;f72655371dad499aa93fe61b0071c3f5
75;./src/features/auth/LoginView.tsx;tsx;3139;7d70a0debf7d2a1f51d1a3fc0f5f5f79
76;./src/features/auth/RegisterView.tsx;tsx;4825;bca65af064072a63379d7fe4ab9c83ae
77;./src/features/inventory/AddItemModal.tsx;tsx;5772;e8b715185460949e77f52dc27ad12422
78;./src/features/inventory/InventoryView.tsx;tsx;9253;aeffa3e2e61d16f6806b8e0b25ec62b1
79;./src/features/inventory/QuantityStepper.tsx;tsx;1106;7dcbbd25422913c39426fee7ac385aa0
80;./src/features/inventory/components/BarcodeScanner.tsx;tsx;1572;94b094f04392775eeec944b5e859bdf2
81;./src/features/recipes/RecipeCard.tsx;tsx;5180;fa21fc1338ba8e0ef64d45addf9c6996
82;./src/features/recipes/RecipesView.tsx;tsx;3142;77d2aba0906d2d4dc86b29b8a7dc62e9
83;./src/features/shopping/ShoppingView.tsx;tsx;13169;e782755401206ae63c899e5b48e9fafc
84;./src/main.tsx;tsx;524;0615405a1674874e6a79670c2d648c17
85;./src/services/api.ts;ts;3101;3c4fab8cd7139abd8c772ec299bdeab5
86;./src/state/store.ts;ts;13090;001bc8157e9729db8e7ae6dc8d749cc3
87;./src/store/useStore.ts;ts;3440;9ac91f345facf80d689a06116b064b6d
88;./src/styles.css;css;18960;d0a92831f1353428cbe3296e48638c0b
89;./src/ui/AppShell.tsx;tsx;6868;71712e99eba9a7d141e14a5f7cf02879
90;./src/ui/kit.tsx;tsx;5123;8c03014bc2f1c53161e371e3b8431b77
91;./tailwind.config.js;js;487;700ae00924f18d6b073b5d7ac3a194bd
92;./tsconfig.app.json;json;732;06fed9d2d293837c0571529eaae7204a
93;./tsconfig.json;json;378;15bbc21879b554353456705cb1caa656
94;./tsconfig.node.json;json;653;eec85c9d7c6b599801557f1afd86672c
95;./vite.config.ts;ts;1563;42b133013d281aebbe3a58a6785148ee
